project,region,asset_type,region
638996685964,projects,cloudbilling.googleapis.com/ProjectBillingInfo,billingInfo
638996685964,cloudresourcemanager.googleapis.com,cloudresourcemanager.googleapis.com/Project,638996685964
638996685964,us-west4-b,compute.googleapis.com/Disk,instance-1
638996685964,global,compute.googleapis.com/Firewall,default-allow-icmp
638996685964,global,compute.googleapis.com/Firewall,default-allow-internal
638996685964,global,compute.googleapis.com/Firewall,default-allow-rdp
638996685964,global,compute.googleapis.com/Firewall,default-allow-ssh
638996685964,us-west4-b,compute.googleapis.com/Instance,instance-1
638996685964,global,compute.googleapis.com/Network,default
638996685964,compute.googleapis.com,compute.googleapis.com/Project,grounded-region-396000
638996685964,global,compute.googleapis.com/Route,default-route-004be4a4e53e250f
638996685964,global,compute.googleapis.com/Route,default-route-0575fb6daffbefe2
638996685964,global,compute.googleapis.com/Route,default-route-0a51fbcb17c7cb03
638996685964,global,compute.googleapis.com/Route,default-route-1420120e99aabcd9
638996685964,global,compute.googleapis.com/Route,default-route-18c8a5f5037d2eea
638996685964,global,compute.googleapis.com/Route,default-route-215b424d5e891ebc
638996685964,global,compute.googleapis.com/Route,default-route-22ba1f94a4230a22
638996685964,global,compute.googleapis.com/Route,default-route-26f6d7e125155aa8
638996685964,global,compute.googleapis.com/Route,default-route-30c55eeb62166d13
638996685964,global,compute.googleapis.com/Route,default-route-3397d370023f4eb5
638996685964,global,compute.googleapis.com/Route,default-route-39106079f7554465
638996685964,global,compute.googleapis.com/Route,default-route-397e427e044d83e3
638996685964,global,compute.googleapis.com/Route,default-route-41c0b35e922d5cc4
638996685964,global,compute.googleapis.com/Route,default-route-4655cee986eb6d2e
638996685964,global,compute.googleapis.com/Route,default-route-501570abe8b742d3
638996685964,global,compute.googleapis.com/Route,default-route-52f5531372b0d72f
638996685964,global,compute.googleapis.com/Route,default-route-5f5dd57eac31ee74
638996685964,global,compute.googleapis.com/Route,default-route-668ee272007c86fa
638996685964,global,compute.googleapis.com/Route,default-route-66d3a8b3691449c5
638996685964,global,compute.googleapis.com/Route,default-route-69e7c35b5ec2bc78
638996685964,global,compute.googleapis.com/Route,default-route-7cdc6c9309e2fd88
638996685964,global,compute.googleapis.com/Route,default-route-7f691e41c35b4de0
638996685964,global,compute.googleapis.com/Route,default-route-871bc8e09a6d5658
638996685964,global,compute.googleapis.com/Route,default-route-9182ff6cc37d8358
638996685964,global,compute.googleapis.com/Route,default-route-9dd6d6836320777b
638996685964,global,compute.googleapis.com/Route,default-route-a6e93833f6f7a303
638996685964,global,compute.googleapis.com/Route,default-route-b4e2245fc8c1012d
638996685964,global,compute.googleapis.com/Route,default-route-ba618ff695c100ce
638996685964,global,compute.googleapis.com/Route,default-route-bceb6e0a1ac504a3
638996685964,global,compute.googleapis.com/Route,default-route-be0a72dfd8490153
638996685964,global,compute.googleapis.com/Route,default-route-c0e543aebcfe7ab4
638996685964,global,compute.googleapis.com/Route,default-route-c9985eaf2637f736
638996685964,global,compute.googleapis.com/Route,default-route-cc26da15c9f35e76
638996685964,global,compute.googleapis.com/Route,default-route-da29b605e8f01c94
638996685964,global,compute.googleapis.com/Route,default-route-dc5ef2c6d45fab0a
638996685964,global,compute.googleapis.com/Route,default-route-e998ef9f22663283
638996685964,global,compute.googleapis.com/Route,default-route-f9c0da586743bd4f
638996685964,global,compute.googleapis.com/Route,default-route-fd8ba29d9fdb0573
638996685964,asia-east1,compute.googleapis.com/Subnetwork,default
638996685964,asia-east2,compute.googleapis.com/Subnetwork,default
638996685964,asia-northeast1,compute.googleapis.com/Subnetwork,default
638996685964,asia-northeast2,compute.googleapis.com/Subnetwork,default
638996685964,asia-northeast3,compute.googleapis.com/Subnetwork,default
638996685964,asia-south1,compute.googleapis.com/Subnetwork,default
638996685964,asia-south2,compute.googleapis.com/Subnetwork,default
638996685964,asia-southeast1,compute.googleapis.com/Subnetwork,default
638996685964,asia-southeast2,compute.googleapis.com/Subnetwork,default
638996685964,australia-southeast1,compute.googleapis.com/Subnetwork,default
638996685964,australia-southeast2,compute.googleapis.com/Subnetwork,default
638996685964,europe-central2,compute.googleapis.com/Subnetwork,default
638996685964,europe-north1,compute.googleapis.com/Subnetwork,default
638996685964,europe-southwest1,compute.googleapis.com/Subnetwork,default
638996685964,europe-west1,compute.googleapis.com/Subnetwork,default
638996685964,europe-west12,compute.googleapis.com/Subnetwork,default
638996685964,europe-west2,compute.googleapis.com/Subnetwork,default
638996685964,europe-west3,compute.googleapis.com/Subnetwork,default
638996685964,europe-west4,compute.googleapis.com/Subnetwork,default
638996685964,europe-west6,compute.googleapis.com/Subnetwork,default
638996685964,europe-west8,compute.googleapis.com/Subnetwork,default
638996685964,europe-west9,compute.googleapis.com/Subnetwork,default
638996685964,me-central1,compute.googleapis.com/Subnetwork,default
638996685964,me-west1,compute.googleapis.com/Subnetwork,default
638996685964,northamerica-northeast1,compute.googleapis.com/Subnetwork,default
638996685964,northamerica-northeast2,compute.googleapis.com/Subnetwork,default
638996685964,southamerica-east1,compute.googleapis.com/Subnetwork,default
638996685964,southamerica-west1,compute.googleapis.com/Subnetwork,default
638996685964,us-central1,compute.googleapis.com/Subnetwork,default
638996685964,us-east1,compute.googleapis.com/Subnetwork,default
638996685964,us-east4,compute.googleapis.com/Subnetwork,default
638996685964,us-east5,compute.googleapis.com/Subnetwork,default
638996685964,us-south1,compute.googleapis.com/Subnetwork,default
638996685964,us-west1,compute.googleapis.com/Subnetwork,default
638996685964,us-west2,compute.googleapis.com/Subnetwork,default
638996685964,us-west3,compute.googleapis.com/Subnetwork,default
638996685964,us-west4,compute.googleapis.com/Subnetwork,default
638996685964,grounded-region-396000,iam.googleapis.com/ServiceAccount,117604720916463775249
